,0,1,2,3,4,5,6,7
0,METRO SERVICES W.E.F. 01.12.2022 IN EAST-WEST CORRIDOR FROM MONDAY TO SATURDAY,METRO SERVICES W.E.F. 01.12.2022 IN EAST-WEST CORRIDOR FROM MONDAY TO SATURDAY,METRO SERVICES W.E.F. 01.12.2022 IN EAST-WEST CORRIDOR FROM MONDAY TO SATURDAY,METRO SERVICES W.E.F. 01.12.2022 IN EAST-WEST CORRIDOR FROM MONDAY TO SATURDAY,METRO SERVICES W.E.F. 01.12.2022 IN EAST-WEST CORRIDOR FROM MONDAY TO SATURDAY,METRO SERVICES W.E.F. 01.12.2022 IN EAST-WEST CORRIDOR FROM MONDAY TO SATURDAY,METRO SERVICES W.E.F. 01.12.2022 IN EAST-WEST CORRIDOR FROM MONDAY TO SATURDAY,METRO SERVICES W.E.F. 01.12.2022 IN EAST-WEST CORRIDOR FROM MONDAY TO SATURDAY
1,SALT LAKE SECTOR V (SVSA),KARUNA MOYEE (KESA),CENTRAL PARK (CPSA),CITY CENTER (CCSC),BENGAL CHEMICAL (BCSD),SALT LAKE STADIUM (SSSA),PHOOL BAGAN (PBGB),SEALDAH (SDHM)
2,D,D,D,D,D,D,D,A
3,7:00,7:03,7:05,7:07,7:10,7:12,7:16,7:20
4,7:20,7:23,7:25,7:27,7:30,7:32,7:36,7:40
5,7:40,7:43,7:45,7:47,7:50,7:52,7:56,8:00
6,8:00,8:03,8:05,8:07,8:10,8:12,8:16,8:20
7,8:20,8:23,8:25,8:27,8:30,8:32,8:36,8:40
8,8:40,8:43,8:45,8:47,8:50,8:52,8:56,9:00
9,9:00,9:03,9:05,9:07,9:10,9:12,9:16,9:20
10,9:15,9:18,9:20,9:22,9:25,9:27,9:31,9:35
11,9:30,9:33,9:35,9:37,9:40,9:42,9:46,9:50
12,9:45,9:48,9:50,9:52,9:55,9:57,10:01,10:05
13,10:00,10:03,10:05,10:07,10:10,10:12,10:16,10:20
14,10:15,10:18,10:20,10:22,10:25,10:27,10:31,10:35
15,10:30,10:33,10:35,10:37,10:40,10:42,10:46,10:50
16,10:45,10:48,10:50,10:52,10:55,10:57,11:01,11:05
17,11:00,11:03,11:05,11:07,11:10,11:12,11:16,11:20
18,11:20,11:23,11:25,11:27,11:30,11:32,11:36,11:40
19,11:40,11:43,11:45,11:47,11:50,11:52,11:56,12:00
20,12:00,12:03,12:05,12:07,12:10,12:12,12:16,12:20
21,12:20,12:23,12:25,12:27,12:30,12:32,12:36,12:40
22,12:40,12:43,12:45,12:47,12:50,12:52,12:56,13:00
23,13:00,13:03,13:05,13:07,13:10,13:12,13:16,13:20
24,13:20,13:23,13:25,13:27,13:30,13:32,13:36,13:40
25,13:40,13:43,13:45,13:47,13:50,13:52,13:56,14:00
26,14:00,14:03,14:05,14:07,14:10,14:12,14:16,14:20
27,14:20,14:23,14:25,14:27,14:30,14:32,14:36,14:40
28,14:40,14:43,14:45,14:47,14:50,14:52,14:56,15:00
29,15:00,15:03,15:05,15:07,15:10,15:12,15:16,15:20
30,15:20,15:23,15:25,15:27,15:30,15:32,15:36,15:40
31,15:40,15:43,15:45,15:47,15:50,15:52,15:56,16:00
32,16:00,16:03,16:05,16:07,16:10,16:12,16:16,16:20
33,16:20,16:23,16:25,16:27,16:30,16:32,16:36,16:40
34,16:40,16:43,16:45,16:47,16:50,16:52,16:56,17:00
35,16:52,16:55,16:57,16:59,17:02,17:04,17:08,17:12
36,17:04,17:07,17:09,17:11,17:14,17:16,17:20,17:24
37,17:16,17:19,17:21,17:23,17:26,17:28,17:32,17:36
38,17:28,17:30,17:32,17:34,17:37,17:40,17:44,17:48
39,17:40,17:43,17:45,17:47,17:50,17:52,17:56,18:00
40,17:52,17:55,17:57,17:59,18:02,18:04,18:08,18:12
41,18:04,18:07,18:09,18:11,18:14,18:16,18:20,18:24
42,18:16,18:19,18:21,18:23,18:26,18:28,18:32,18:36
43,18:28,18:30,18:32,18:34,18:37,18:40,18:44,18:48
44,18:40,18:43,18:45,18:47,18:50,18:52,18:56,19:00
45,18:52,18:55,18:57,18:59,19:02,19:04,19:08,19:12
46,19:04,19:07,19:09,19:11,19:14,19:16,19:20,19:24
47,19:16,19:19,19:21,19:23,19:26,19:28,19:32,19:36
48,19:28,19:30,19:32,19:34,19:37,19:40,19:44,19:48
49,19:40,19:43,19:45,19:47,19:50,19:52,19:56,20:00
50,20:00,20:03,20:05,20:07,20:10,20:12,20:16,20:20
51,20:20,20:23,20:25,20:27,20:30,20:32,20:36,20:40
52,20:40,20:43,20:45,20:47,20:50,20:52,20:56,21:00
53,21:00,21:03,21:05,21:07,21:10,21:12,21:16,21:20
54,21:20,21:23,21:25,21:27,21:30,21:32,21:36,21:40
55,21:40,21:43,21:45,21:47,21:50,21:52,21:56,22:00
